"ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","informedConsent","age","studyExit","sex","country","selectionAlcohol","negativeresponsSelectionAlcohol","informationAlcohol","Intention_intend","Intention2willing","Intention3expect","curBeh","Attitude_bad_good","Attitude_unpleasant_pleasant","Attitude_harmful_beneficial","Attitude_boring_interesting","Importancescale_unimportant_important","Importancescale_notessential_essential","Importancescale_notsignificant_significant","information","Injunctivenorm_importantpeople","Injunctivenorm_mostpeopleapprove","Descriptivenorm_closefriends","Descriptivenorm_peoplelikeme","Perceivedcontrol_forme","Perceivedcontrol_reallywantto","Perceivedcontrol_confident","information.1","Selfidentity_rarelythinkabout","SelfidentityRestrainedAlcohol","Selfidentity_kindofperson","Selfidentity_restrainedalcoholimportant","Selfidentity_doingbehaviorimportant","Selfidentity_importantpart","Selfidentity_seemyselfas","Selfidentity_seemyselffollowingthebehaviorguideline","Selfidentity_givingupalcoholdrinking","Selfidentity_restrainedalcoholdrinkingmeansmore","Selfidentity_wrongbehaviormeansmorethanjusttheact","Selfidentity_behaviormeansmoretantheactself","Selfidentity_concernedwithnotdoingthebehaviorenough","Selfidentity_concernedwithdoingtherightbehavior","Selfidentity_wouldfeelatalossgivingupwrongbehavior","information.2","Past_haveused","Past_howoften","VerificationWorkerID","Endscreen","Browser.Meta.Info.Browser","Browser.Meta.Info.Version","Browser.Meta.Info.Operating.System","Browser.Meta.Info.Screen.Resolution","Browser.Meta.Info.Flash.Version","Browser.Meta.Info.Java.Support","Browser.Meta.Info.User.Agent","LocationLatitude","LocationLongitude","LocationAccuracy","NA..2","id","selfIdentitySelected","selfIdentity","attitude","importance","attitudeImportance","perceivedNorms","pbc","intention","pastBehavior","currentBehavior"
"a0aafe707b8281678b3263d6a177811dce7be54e809fc6fa5071c71a98197135","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","592f355b795316ac6a23ed7f9994a975bea3767bbabf3aac7cd80e865306d23f","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","b3916626c7f1000a4a72b225f48d15d0febe6064d815b442e4396c379efb91ea","862936c040fa39d14a5880479e8efcb206c1d412ae782c58783464638e109a2b","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,24,NA,1,2,1,NA,1,5,4,5,4,3,5,4,5,4,2,5,1,6,6,6,6,5,4,5,1,3,3,5,6,5,2,4,3,4,4,3,2,3,5,3,1,5,5,"1ccf5e25c2c6c09ad43f792bc2fdd773270f1f1e6aac0778e71c1820ba711b9f","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","9c391c14b575efd0f99bcabf9635eaba75fa9b7c78aa0782aa328e7727dce6c8","1e567a43e96f9fae73cb5adb6e02e8937030ecb7b704cb8a549db7e6bf8ce358","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","0ec666f7e311eb44040f7664f27916570be2096b3922d3ea48357aa14bcac7bc","7576827af18e459a26885022552e2ddeb6a8773bae729ae32c42be0d17fc5af2","eaeeef8557dd58507106ea2cf98bf0eeeeeb6f905f9282797c51f9896fcdc868","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_1",4.25,3.45454545454545,4.25,3.66666666666667,4,6,4.66666666666667,4.66666666666667,5,4
"c5638871b17b808aff592b67f1ba5182a45c170711586230ce2cb7c7a21108b3","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","4e680506fa5aa1323e6eb741b93a32a826fb955af2bb4c1b474a9a8ab8c6a831","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","83e0cdb21aa33b838c0f9294ee8d4d1156adbc13f706d054323e634f97a869f3","d2311233cc68586ed0ca54103ab210ab0f39acd5b39c14b3f891af66cf2244ac","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,20,NA,1,2,1,NA,1,3,3,4,3,3,5,3,5,4,5,4,1,5,6,5,5,4,5,4,1,4,5,3,5,4,2,5,3,3,5,5,4,5,4,3,1,5,4,"4bc98807bc16169d89418293c164498fc73f17b07caee227e614a0d85367d062","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","9c391c14b575efd0f99bcabf9635eaba75fa9b7c78aa0782aa328e7727dce6c8","38209cf228a8f12ac41d8c1fcf2d292f4ce632ea5f45746e0ae9cba5edf15c44","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","818701b76fc0e19ae2b16416dee8137b0256398342a95730e27c79b46c65bf0f","f6b219c87dd3add71347254135655251b364fd8b4c88d2f844bb3e9840d5ba4e","db35392d8c2865815c1f934f01f59915864040f0d5d1395accc8d3530c1aae9e","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_2",3.75,3.81818181818182,4,4.33333333333333,4.14285714285714,5.25,4.33333333333333,3.33333333333333,4.5,3
"63b9bc088e0397de30906b899bdfa747be7cb7f150f7fcf5d6a96a090a972133","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","29de3bc69bee75897237f1059bbfa30339dc033059a7e545a8719004c0ebbabb","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","6ebfd152f7554032bd2aa2449c20f99cd7ed957b7e5549815662125c5817ee01","8a314d6607cee6851c3f8071db48cf3142077a5592af0181f78427812788334e","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,24,NA,2,2,1,NA,1,5,5,5,3,3,4,5,4,2,4,5,1,3,5,4,3,3,3,4,1,5,3,3,5,3,4,5,6,2,4,3,2,2,3,3,1,3,3,"ffa416528b1208bbdfb60280f3e6cebdb0bb52f64d1abd758f399275fe612438","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","16b12d5ff730da880f61d3f27c3f83d72bfaaeb0e14adb4ad20c0d13a3f3e19f","7cb542be836b93bd9f3d48bd8bd9f72f209fdfeab78ff049f1cbb6abedb02204","2c415ef89679e9ee8391888ad73bd0fe817932bba2e9d29c9935b017a8c2db5b","6dbd4172229ff3945999842eb24fafdb53bc1b04636a532c4588528e841c2644","2484abdadd69bb78775c5dee8859d99bd786da9490f9eb102330b74315c72a41","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bb308c65211229a135140eccc3c703fd3e4f93e9d878a09d4312adf60a2985fe","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_3",4.25,3.54545454545455,4,3.66666666666667,3.85714285714286,3.75,3.33333333333333,5,3,3
"d4e37f90d386882b16b385809cc155c6e09aa60a5653cd52c5a769f7bcd5acfa","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","d1eba61c49e02849b0eb811637264c99ba3a92d525332a80d8b0e0bd54333901","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","1f48440a4f90bbdd8ca3f7040d9b83c583f2f487dc0a3b6f76fa1d2599234fd7","0edede7e1b15b347b7edbb9441ab19557d66855840ae9bfe0762d9e42b4228d8","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,23,NA,2,2,1,NA,1,7,6,6,5,6,7,6,6,7,6,6,1,7,6,6,7,6,3,6,1,2,2,5,6,4,2,3,6,3,3,6,0,6,7,3,1,2,5,"bd7494407fca89982f8210dc3b1adcf854c9cd28981fe0bbdb2adae95d8103a9","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","1e567a43e96f9fae73cb5adb6e02e8937030ecb7b704cb8a549db7e6bf8ce358","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","d25c0ef0b5429046e72f3e882c27e2743f7ce1a93727305d5a5e462410bfc95a","9e06e8e16076e684643950b6b353610a9f862c0d369da05c8cc87126324d0a5e","b571e1f43a7ce29f6449001598f5bb0b77b42f79447b0f15a3933bcd60cfb2a1","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_4",5.25,4,6.25,6.33333333333333,6.28571428571429,6.5,5,6.33333333333333,3.5,5
"6f3f11acdcaeceeda0f7957ca1e073131b69bc72ec98f570e27a7440f05dbae6","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","7f4837ef15c044ad87b181f05a4592d0cef557510db8dc3ac20cf6723dfa221a","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","53ade2d7e03b0491c8d55c043071de6122eb91bae4c45a671ebeca57fd1b9752","93dcbb5633ee06f65472e5b968ba26d03cab47175473c6f28f83414519ffa862","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,21,NA,2,2,1,NA,1,5,6,5,6,6,5,6,7,6,5,6,1,6,6,7,6,6,5,6,1,2,3,5,6,6,2,6,5,1,5,5,2,5,4,2,1,5,6,"4a0964dd53340066b187cd66b17070f14c637a1451e30c277fd79572a7e2950c","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","1e567a43e96f9fae73cb5adb6e02e8937030ecb7b704cb8a549db7e6bf8ce358","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","d25c0ef0b5429046e72f3e882c27e2743f7ce1a93727305d5a5e462410bfc95a","43d3531fe224419a1bf6d4a0cad6fd007927d40f41eee27a52338c893140ed99","ad3ef1ebd368c160bad4abc8af2bdfda64d7dc351993059c23b96945ab1d66a0","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_5",5,4,6,5.66666666666667,5.85714285714286,6.25,5.66666666666667,5.33333333333333,5.5,6
"0db73bba871e0ec717fdd1366fd1bab4754edf43233dc33f58e498ebbef18742","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","c8f1ebc537137c51840f98866f659e8ee8c9bce58e24579bc2b7024b1099fa9a","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","6d49f7a1c5d02f38ed7121b9ea43741611419609fddca05c988b437b5938ea8c","c11e3c489febaa3dd95c5c0963f42905206752d2331e6ac60d81e6b946de5e4a","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,22,NA,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","9a4ebd4143ca24c5958a1dbded06e024eb21e8ca5b67f0366d46f28fd0468954","18eff1dd659e4a2722b4ad2f16df8997879ed283750fae4597669020d0e6e918","fff78b5cc77aa3dfdd00b48b4187a528e2f968edd8673ce5af8b5610a3b6408e","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c6bff9ec3cb9ae3d85ff43155f40acae4aae5b92f830ec0cb1510d26d49075c6","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","169106c71334eef573bb65c85d32b8c8576e2339c10155b5a16894096b6811c7","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","3b28826ac1a340fa7ac6aa361457aced8eca3490e1dfa1279d71b0e434ce7545","5c42d5de859383abca858bce07b14f04e813028845d2af4e1d4768b64af11be8","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,1,NA,1,5,4,3,4,4,3,3,4,5,4,5,1,5,7,5,4,5,4,5,1,2,3,4,6,6,2,5,5,2,5,5,1,6,5,3,1,5,4,"74b0aa70b803cd87da89129e19a2eaece1bb9d78c480c220af8b67862a0243ad","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","79c1d81e2ba61c1a0f82e3581340b438b55bf2d24b87772d298fbc99de4204bf","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","d25c0ef0b5429046e72f3e882c27e2743f7ce1a93727305d5a5e462410bfc95a","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_7",4.75,4,3.5,4.66666666666667,4,5.25,4.66666666666667,4,4.5,4
"13e416e7fbcd62223a51a6220afd163968e0ae5e5ad53f54e6a38ca073c5b387","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","80ee8239984de83e48b60d8df234cb453562045b774611f53e9028e89b693095","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","b789f888502359a9d357fa31c0be5b78be0eea377ff25977d689f69c6eef8ea9","7ccadc3eb9da3331c3c74c8030bf7b33da1efbb4c0601d766404bf7221fbb927","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,1,NA,1,5,4,5,5,7,6,6,5,5,5,5,1,6,5,6,6,5,5,5,1,3,2,5,5,5,2,5,5,2,5,5,2,5,5,3,1,6,5,"f1be9201179db23a5e18b1f5d9501a1f1b4d75253e42a35e2d7fd364882d7943","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","eaaecfbe3997ec327887f9ae252ad218dc6fea7b7e4ca90ef6e9f60be55f2b3b","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","147c2339dd3baf66f35fc9c83b99acfa80e8a3fbb9cdc721c7905d12faf247b6","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_8",5,4.09090909090909,6,5,5.57142857142857,5.75,5,4.66666666666667,5.5,5
"99ebbcbc32129c60ea63dac8d434d85afb2ad4ff71d113435fc7cc71c687969b","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fcd54b78800af28dde9650b1137a29555191b3f88f5654a0c061e2b2ea4fbf4c","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","928d2593b17598142463c65c7236a1ed92fec9757ab93de01f9a54e01d5172d6","241a77943f52b07601ba61528146120d8b39ef49c887586b72c199052ce86bf2","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,23,NA,2,2,1,NA,1,5,1,2,2,2,2,1,4,2,1,2,1,6,6,5,5,6,5,6,1,5,3,6,5,5,2,5,3,4,5,5,2,3,5,3,1,5,3,"092b09b9c4e24d918d918846d21397e95343750ae6909a605706d77315bacbdf","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","e82a28f186c987d4b885ac04ee44f0c947371c2fc688fc454467eef053a2681e","e27fb5164dc3e1afdfd6ae0d9b6c27e66973d2d2bf148ba9044627b52c5be7f2","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","1e567a43e96f9fae73cb5adb6e02e8937030ecb7b704cb8a549db7e6bf8ce358","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","a43757e9b5254d9bce2e4f884187ab929f5972714190e1a872bdb52789fcb1fd","b425ddf4dd3c09c532cc4a6cee0006c09c7ba0b78cef80f1a805135178e5cb55","5a22364249eef1211069f2f5b7278b9bdf2386c774e093e57d795f24ba9c6285","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_9",4.75,4,2.25,1.66666666666667,2,5.5,5.66666666666667,2.66666666666667,4,2
"4d7e7d208aebbf3984b972cd9764d17843cff753cc135429734a2100c64045a5","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","80ee8239984de83e48b60d8df234cb453562045b774611f53e9028e89b693095","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","957aa50accd9c733632e5b79010ab3ebfb3e998ca895b20c397889c8c5ec4585","a930a4158af6fe7132e7574545f199e1e3d0e10e420978268e63cab8a849a14f","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,1,NA,1,4,4,5,5,4,5,4,5,4,5,4,1,5,6,6,4,4,5,4,1,3,3,5,4,4,3,4,5,2,5,5,3,4,4,4,1,5,5,"34699f5d59a995e9e4486fd5293edb6412e30b857c388278d33270d239424e0f","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","383d6578071349561d841836cdafa7c16bc53efec2009ac3bcf63a908c0707b4","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","eaaecfbe3997ec327887f9ae252ad218dc6fea7b7e4ca90ef6e9f60be55f2b3b","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","84da790febde85b1ae19552e569e6768c781317b80ab09999c2438944b425b04","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"alcohol_10",4.5,4,4.5,4.33333333333333,4.42857142857143,5.25,4.33333333333333,4.33333333333333,5,5
